dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.516439,11.639495,0.000798,0.079783,3.989170,199.458495,6.172503
0.020000,0.516428,11.639496,0.000809,0.000545,-3.961939,-397.555457,6.172513
0.020000,0.518677,11.639246,0.003071,0.113135,5.629527,479.573305,6.172535
0.020000,0.531320,11.637842,0.015792,0.636038,26.145125,1025.779885,6.172576
0.020000,0.551073,11.635649,0.035667,0.993723,17.884246,-413.043929,6.172641
0.020000,0.578724,11.632581,0.063487,1.391035,19.865630,99.069224,6.172735
0.020000,0.614270,11.628641,0.099251,1.788171,19.856799,-0.441587,6.172861
0.020000,0.657706,11.623833,0.142952,2.185080,19.845444,-0.567713,6.173024
0.020000,0.709028,11.618161,0.194587,2.581711,19.831572,-0.693632,6.173229
0.020000,0.768229,11.611633,0.254147,2.978015,19.815170,-0.820103,6.173481
0.020000,0.835304,11.604255,0.321626,3.373939,19.796227,-0.947160,6.173787
0.020000,0.910243,11.596038,0.397014,3.769435,19.774764,-1.073107,6.174156
0.020000,0.993039,11.586993,0.480303,4.164450,19.750765,-1.199977,6.174596
0.020000,1.083684,11.577135,0.571482,4.558934,19.724218,-1.327352,6.175116
0.020000,1.182166,11.566480,0.670539,4.952837,19.695117,-1.455044,6.175727
0.020000,1.288475,11.555050,0.777461,5.346106,19.663474,-1.582132,6.176441
0.020000,1.402601,11.542868,0.892235,5.738691,19.629267,-1.710382,6.177270
0.020000,1.524531,11.529964,1.014846,6.130541,19.592483,-1.839164,6.178228
0.020000,1.654252,11.516370,1.145278,6.521603,19.553112,-1.968552,6.179328
0.020000,1.791753,11.502124,1.283514,6.911826,19.511140,-2.098611,6.180587
0.020000,1.937019,11.487272,1.429537,7.301157,19.466552,-2.229395,6.182020
0.020000,2.090036,11.471863,1.583328,7.689545,19.419389,-2.358170,6.183644
0.020000,2.250789,11.455955,1.744867,8.076935,19.369500,-2.494456,6.185478
0.020000,2.419264,11.439614,1.914132,8.463276,19.317062,-2.621893,6.187541
0.020000,2.595445,11.422915,2.091103,8.848513,19.261859,-2.760149,6.189852
0.020000,2.779315,11.405941,2.275755,9.232594,19.204032,-2.891358,6.192433
0.020000,2.970857,11.388784,2.468064,9.615464,19.143518,-3.025701,6.195305
0.020000,3.170054,11.371550,2.668005,9.997071,19.080316,-3.160097,6.198493
0.020000,3.376888,11.354354,2.875552,10.377359,19.014434,-3.294085,6.202019
0.020000,3.591339,11.337325,3.090678,10.756277,18.945894,-3.427021,6.205909
0.020000,3.813385,11.320605,3.313353,11.133772,18.874738,-3.557762,6.210188
0.020000,4.042229,11.304403,3.542770,11.470802,16.851516,-101.161143,6.214867
0.020000,4.276293,11.288977,3.777341,11.728586,12.889159,-198.117820,6.219936
0.020000,4.514006,11.274566,4.015491,11.907509,8.946155,-197.150188,6.225378
0.020000,4.753804,11.261379,4.255651,12.007981,5.023620,-196.126795,6.231170
0.020000,4.994058,11.249600,4.496194,12.027172,0.959544,-203.203753,6.237277
0.020000,5.233150,11.239374,4.735505,11.965532,-3.082004,-202.077404,6.243658
0.020000,5.469530,11.230802,4.972040,11.826757,-6.938743,-192.836978,6.250264
0.020000,5.701654,11.223939,5.204266,11.611271,-10.774315,-191.778614,6.257040
0.020000,5.927985,11.218794,5.430655,11.319479,-14.589598,-190.764143,6.263922
0.020000,6.147058,11.215327,5.649755,10.954995,-18.224176,-181.728903,6.270843
0.020000,6.358182,11.213446,5.860888,10.556634,-19.918078,-84.695062,6.277753
0.020000,6.561376,11.213037,6.064082,10.159723,-19.845531,3.627355,0.001442
0.020000,6.756658,11.213981,6.259366,9.764209,-19.775697,3.491674,0.008254
0.020000,6.944046,11.216155,6.446767,9.370034,-19.708773,3.346207,0.014980
0.020000,7.123559,11.219436,6.626310,8.977138,-19.644797,3.198802,0.021597
0.020000,7.295215,11.223698,6.798019,8.585461,-19.583825,3.048593,0.028082
0.020000,7.459034,11.228817,6.961918,8.194942,-19.525937,2.894380,0.034414
0.020000,7.615035,11.234667,7.118028,7.805519,-19.471186,2.737581,0.040574
0.020000,7.763237,11.241125,7.266371,7.417132,-19.419341,2.592217,0.046542
0.020000,7.903659,11.248070,7.406965,7.029714,-19.370894,2.422357,0.052301
0.020000,8.036322,11.255382,7.539829,6.643210,-19.325187,2.285358,0.057835
0.020000,8.161245,11.262946,7.664980,6.257551,-19.282950,2.111860,0.063127
0.020000,8.278445,11.270650,7.782434,5.872684,-19.243341,1.980452,0.068165
0.020000,8.387943,11.278387,7.892205,5.488548,-19.206837,1.825187,0.072933
0.020000,8.489757,11.286055,7.994307,5.105083,-19.173229,1.680386,0.077420
0.020000,8.583903,11.293557,8.088751,4.722235,-19.142412,1.540866,0.081616
0.020000,8.670399,11.300801,8.175550,4.339949,-19.114300,1.405621,0.085509
0.020000,8.749261,11.307703,8.254714,3.958170,-19.088966,1.266686,0.089090
0.020000,8.820504,11.314184,8.326251,3.576847,-19.066117,1.142461,0.092351
0.020000,8.884141,11.320172,8.390170,3.195936,-19.045556,1.028043,0.095285
0.020000,8.940186,11.325602,8.446477,2.815379,-19.027875,0.884047,0.097886
0.020000,8.988651,11.330416,8.495180,2.435137,-19.012073,0.790099,0.100146
0.020000,9.029544,11.334565,8.536283,2.055163,-18.998685,0.669379,0.102063
0.020000,9.062875,11.338005,8.569791,1.675412,-18.987572,0.555664,0.103631
0.020000,9.088651,11.340702,8.595708,1.295841,-18.978564,0.450413,0.104847
0.020000,9.106941,11.342634,8.614100,0.919592,-18.812438,8.306292,0.105712
0.020000,9.118567,11.343871,8.625791,0.584552,-16.752012,103.021322,0.106262
0.020000,9.125038,11.344562,8.632299,0.325412,-12.956964,189.752377,0.106569
0.020000,9.127865,11.344865,8.635142,0.142151,-9.163056,189.695408,0.106703
0.020000,9.128556,11.344939,8.635837,0.034742,-5.370460,189.629796,0.106736
0.020000,9.128556,11.344939,8.635837,0.000000,-1.737108,181.667581,0.106736
