dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.394937,10.546226,0.000798,0.079783,3.989170,199.458495,6.172503
0.020000,0.394937,10.546226,0.003989,0.239350,7.978340,199.458495,6.172513
0.020000,0.397210,10.545973,0.011170,0.478700,11.967510,199.458495,6.172535
0.020000,0.409897,10.544564,0.023935,0.797834,15.956680,199.458495,6.172576
0.020000,0.429721,10.542363,0.043881,1.196751,19.945850,199.458495,6.172641
0.020000,0.457475,10.539283,0.071805,1.595668,19.945850,0.000000,6.172735
0.020000,0.493159,10.535328,0.107708,1.994585,19.945850,-0.000000,6.172861
0.020000,0.536774,10.530501,0.151588,2.393502,19.945850,0.000000,6.173024
0.020000,0.588319,10.524804,0.203448,2.792419,19.945850,0.000000,6.173229
0.020000,0.647796,10.518246,0.263285,3.191336,19.945850,-0.000000,6.173481
0.020000,0.715206,10.510831,0.331101,3.590253,19.945850,0.000000,6.173787
0.020000,0.790548,10.502569,0.406895,3.989170,19.945850,-0.000000,6.174156
0.020000,0.873825,10.493472,0.490668,4.388087,19.945850,0.000000,6.174596
0.020000,0.965038,10.483552,0.582419,4.787004,19.945850,-0.000000,6.175116
0.020000,1.064189,10.472825,0.682148,5.185921,19.945850,0.000000,6.175727
0.020000,1.171279,10.461311,0.789856,5.584838,19.945850,0.000000,6.176441
0.020000,1.286312,10.449033,0.905542,5.983755,19.945850,-0.000000,6.177270
0.020000,1.409289,10.436017,1.029206,6.382672,19.945850,0.000000,6.178228
0.020000,1.540215,10.422297,1.160848,6.781589,19.945850,-0.000000,6.179328
0.020000,1.679093,10.407909,1.300469,7.180506,19.945850,0.000000,6.180587
0.020000,1.825926,10.392896,1.448069,7.579423,19.945850,-0.000000,6.182020
0.020000,1.980721,10.377308,1.603646,7.978340,19.945850,-0.000000,6.183644
0.020000,2.143482,10.361201,1.767202,8.377257,19.945850,0.000000,6.185478
0.020000,2.314215,10.344642,1.938737,8.776174,19.945850,-0.000000,6.187541
0.020000,2.492927,10.327703,2.118249,9.175091,19.945850,0.000000,6.189852
0.020000,2.679624,10.310467,2.305740,9.574008,19.945850,-0.000000,6.192433
0.020000,2.874314,10.293029,2.501210,9.972925,19.945850,0.000000,6.195305
0.020000,3.077004,10.275493,2.704657,10.371842,19.945850,0.000000,6.198493
0.020000,3.287703,10.257975,2.916083,10.770759,19.945850,0.000000,6.202019
0.020000,3.506419,10.240608,3.135488,11.169676,19.945850,0.000000,6.205909
0.020000,3.733159,10.223534,3.362870,11.568593,19.945850,-0.000000,6.210188
0.020000,3.967137,10.206969,3.597433,11.887726,15.956680,-199.458495,6.214867
0.020000,4.206765,10.191177,3.837581,12.127076,11.967510,-199.458495,6.219936
0.020000,4.450454,10.176403,4.081719,12.286643,7.978340,-199.458495,6.225378
0.020000,4.696613,10.162866,4.328249,12.366427,3.989170,-199.458495,6.231170
0.020000,4.943577,10.150759,4.575511,12.359730,-0.334824,-216.199698,6.237277
0.020000,5.189682,10.140233,4.821841,12.273250,-4.323994,-199.458495,6.243658
0.020000,5.433323,10.131398,5.065643,12.106987,-8.313164,-199.458495,6.250264
0.020000,5.672897,10.124315,5.305322,11.860940,-12.302334,-199.458495,6.257040
0.020000,5.906797,10.118998,5.539283,11.535110,-16.291504,-199.458495,6.263922
0.020000,6.133481,10.115411,5.765996,11.136193,-19.945850,-182.717292,6.270843
